,dbscan_eps_0_1_min_samples_2,dbscan_eps_0_2_min_samples_2,dbscan_eps_0_3_min_samples_2,dbscan_eps_0_4_min_samples_2,dbscan_eps_0_5_min_samples_2,dbscan_eps_0_6_min_samples_2,dbscan_eps_0_7_min_samples_2,dbscan_eps_0_8_min_samples_2,dbscan_eps_0_9_min_samples_2,kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,kmeans_n_clusters_1,kmeans_n_clusters_2,kmeans_n_clusters_3,kmeans_n_clusters_4,kmeans_n_clusters_5,kmeans_n_clusters_6,kmeans_n_clusters_7,kmeans_n_clusters_8,mean_shift_,optics_min_samples_7_xi_0_01_min_cluster_size_0_2,spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,random_model_n1,random_model_n2,random_model_n3,random_model_n4,random_model_n5,random_model_n6,random_model_n7,random_model_n8,random_model_n9,random_model_n10,random_model_n11,random_model_n12,random_model_n13,random_model_n14,random_model_n15,random_model_n16,random_model_n17,random_model_n18,random_model_n19,random_model_n20,random_model_n21,random_model_n22,random_model_n23,random_model_n24,random_model_n25,random_model_n26,random_model_n27,random_model_n28,random_model_n29,random_model_n30,random_model_n31,random_model_n32,random_model_n33,random_model_n34,random_model_n35,random_model_n36,random_model_n37,random_model_n38,random_model_n39,random_model_n40,random_model_n41,random_model_n42,random_model_n43,random_model_n44,random_model_n45,random_model_n46,random_model_n47,random_model_n48,random_model_n49,random_model_n50,random_model_n51,random_model_n52,random_model_n53,random_model_n54,random_model_n55,random_model_n56,random_model_n57
197,0,0,1,1,4,1,2,6,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,0,1,0,3,1,6,1,-1,2,2,0,2,2,0,2,2,2,2,0,2,0,0,0,2,2,0,0,2,2,2,0,1,0,1,2,2,2,0,1,0,1,0,0,2,1,2,0,1,2,0,1,1,2,1,1,0,0,0,1,2,0,2,0,2,1
198,0,1,0,3,3,3,5,5,7,1,0,0,0,0,0,0,0,0,1,2,1,3,4,4,6,0,1,2,1,2,4,3,3,2,1,2,2,1,0,1,1,2,1,1,0,2,0,1,1,2,2,2,1,0,0,1,2,1,1,1,2,0,0,0,0,1,1,2,1,0,1,1,0,2,2,0,2,1,0,0,2,2,0,0,0,2,1,0,0,0,2,1
199,0,1,2,0,1,0,3,5,29,1,0,0,0,0,0,0,0,0,1,1,0,1,4,4,2,0,0,2,1,2,4,3,3,0,1,0,2,2,1,1,2,2,2,0,2,0,0,0,2,2,0,2,1,1,1,1,2,1,0,2,0,2,1,2,0,2,0,0,1,0,0,2,0,1,2,1,1,1,0,2,2,0,2,1,2,2,1,2,0,0,1,1
200,0,0,1,1,0,4,6,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,0,3,4,5,4,7,1,2,2,1,2,2,1,0,0,0,2,1,2,0,1,2,2,0,0,2,1,1,1,2,2,1,2,2,0,1,1,1,0,2,1,2,1,0,2,2,1,0,1,0,2,1,2,0,1,1,1,2,2,0,1,1,0,1,1
201,0,0,1,1,4,1,2,6,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,0,1,0,3,1,6,1,-1,1,2,1,2,1,1,1,1,2,1,1,1,2,0,2,0,1,2,1,1,1,0,1,2,0,1,1,1,1,2,2,0,2,0,2,0,1,2,2,0,1,1,0,0,0,0,0,2,2,0,1,0,2,1,1,1,2
202,0,0,1,1,4,1,2,6,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,5,3,0,1,0,1,0,3,1,6,1,-1,2,0,2,2,1,1,2,1,2,1,1,2,0,0,1,0,1,1,2,0,2,1,2,0,0,1,2,2,0,2,1,2,2,2,2,0,2,2,2,2,0,0,1,2,0,1,0,0,1,0,1,1,0,2,0,2,0
203,0,0,1,1,0,4,6,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,0,3,4,5,4,1,1,2,2,1,2,2,2,1,1,1,1,0,2,0,2,0,2,1,1,2,1,2,2,1,2,2,1,1,0,1,0,2,0,1,1,0,1,0,1,1,1,1,1,0,2,1,2,2,0,2,0,1,0,2,1,1,1,2,0
204,0,1,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,2,1,2,2,4,0,-1,0,1,1,1,1,0,2,2,1,0,2,1,1,1,2,2,2,0,1,0,0,2,1,0,1,1,1,0,2,1,0,1,0,1,2,0,2,1,2,2,1,2,0,1,2,1,1,2,1,0,2,1,2,1,0,2,2
205,0,0,1,1,0,4,6,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,0,3,4,5,4,7,1,2,2,1,2,2,0,0,1,2,0,2,1,2,0,1,1,2,0,2,1,2,2,1,0,0,0,1,2,0,1,1,2,0,1,1,0,2,1,0,0,1,1,1,2,2,2,1,2,0,0,0,2,0,0,0,0,2,2
206,0,0,1,1,4,1,2,6,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,0,1,0,3,1,6,1,2,0,0,0,1,0,1,2,2,0,1,2,2,0,2,2,0,2,2,1,2,0,1,0,1,2,1,2,0,2,2,1,2,1,1,2,0,0,0,0,1,1,1,1,2,2,2,1,1,0,2,2,0,0,1,2,1,1
207,0,1,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,2,1,2,6,0,0,0,2,2,1,2,2,2,0,1,2,0,0,0,1,1,0,1,2,0,1,0,0,2,0,2,1,1,2,2,2,2,2,2,0,2,1,2,2,0,2,2,0,0,0,1,2,1,1,0,2,2,0,2,1,1,2,1,0
208,0,1,0,2,2,3,3,7,-1,1,0,0,0,0,0,0,0,0,1,2,3,3,4,4,2,0,0,2,0,3,0,0,2,2,1,0,1,1,1,2,2,1,2,2,1,1,1,1,1,1,0,0,2,0,1,0,0,2,0,0,2,1,2,0,0,0,2,2,1,0,2,1,2,2,2,0,0,0,1,2,0,2,2,2,0,0,2,0,0,2,1,2
209,0,1,0,2,2,2,3,7,4,1,0,0,0,0,0,0,0,0,1,2,3,2,2,1,2,0,0,2,0,3,0,0,2,2,1,0,2,0,1,1,1,2,0,0,0,0,0,1,2,1,1,1,1,1,2,0,0,2,2,0,2,0,1,1,1,1,1,2,2,1,0,0,2,0,1,1,2,2,0,0,2,0,1,1,2,2,0,1,2,2,0,0
210,0,0,1,1,0,4,6,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,0,3,4,5,4,7,1,2,0,0,0,2,2,1,1,1,0,1,2,0,2,0,0,2,0,2,1,0,1,2,2,1,1,2,1,2,1,2,0,2,2,1,2,1,2,0,0,2,1,0,0,2,2,0,0,1,2,1,0,0,2,1,0,0,2
211,0,0,1,3,3,5,5,4,30,8,0,0,0,0,0,0,0,0,0,2,1,4,5,3,3,0,1,0,1,0,4,3,3,2,-1,2,2,1,0,0,2,1,2,1,1,2,2,2,0,0,0,0,1,0,2,2,1,1,1,0,1,2,0,1,2,0,2,2,0,0,0,1,0,2,1,2,2,1,2,0,0,1,1,0,0,1,0,2,2,0,2,0
212,0,1,0,3,3,3,0,2,3,1,0,0,0,0,0,0,0,0,1,2,1,3,4,0,6,0,1,2,1,3,4,3,3,2,1,2,2,0,0,0,1,0,1,1,0,1,2,0,1,0,1,2,1,1,2,2,0,1,1,0,0,0,2,1,1,1,0,0,0,2,2,1,2,0,1,0,1,0,2,1,0,2,2,1,0,2,2,0,1,0,2,2
213,0,1,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,2,2,1,5,5,0,0,1,0,1,0,1,1,1,1,1,0,0,1,0,2,2,2,2,0,1,2,1,1,2,0,2,0,0,2,0,1,2,2,2,1,2,0,2,0,0,1,0,1,2,2,1,2,1,0,1,0,2,0,0,0,1,2,0
214,0,1,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,2,2,1,6,0,0,0,2,1,1,2,1,0,1,2,2,0,0,0,1,2,0,2,1,1,2,0,2,2,0,1,1,1,1,1,2,1,0,2,2,0,0,0,2,2,2,0,1,0,1,1,2,1,2,1,2,1,0,2,1,0,2,0,0
215,0,0,1,1,4,1,2,6,2,2,0,0,0,0,0,0,0,0,0,0,2,4,3,5,3,0,1,0,1,0,3,1,6,1,2,2,0,0,0,2,1,2,1,0,1,0,1,0,2,2,0,0,0,2,2,1,0,1,2,0,1,1,0,2,0,1,2,1,2,1,2,1,2,0,1,1,0,0,1,1,1,2,2,1,0,2,0,2,1,0,1,1
216,0,0,1,1,0,4,6,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,0,3,4,5,4,7,1,2,1,1,2,1,1,2,2,0,0,1,0,1,1,0,0,0,0,0,0,0,2,0,1,0,1,0,1,1,1,2,0,1,1,2,2,1,0,0,1,0,1,1,2,1,0,0,0,2,0,1,1,0,2,2,2,2,0
217,0,0,1,1,0,4,6,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,0,3,4,5,4,7,1,-1,0,1,1,2,2,2,1,0,1,1,2,2,0,1,0,2,1,0,1,1,2,2,2,1,2,1,1,2,0,0,2,2,1,0,2,0,2,0,2,0,2,2,2,1,2,1,0,0,0,0,1,1,1,1,1,0,0
218,0,0,1,1,4,1,2,6,-1,2,0,0,0,0,0,0,0,0,0,0,2,4,3,5,3,0,1,0,1,0,3,1,6,1,-1,0,2,2,1,2,1,0,1,2,1,0,0,2,0,1,2,1,2,0,0,0,2,0,2,1,2,2,0,2,1,0,1,1,2,1,1,1,0,0,0,0,2,2,2,0,1,0,1,0,1,0,2,1,1,2,1,0
219,0,1,2,0,1,2,3,7,-1,-1,2,0,0,0,0,0,0,0,1,1,0,1,1,2,5,0,0,2,0,3,0,0,2,0,-1,2,0,0,2,0,0,2,1,1,1,2,2,1,1,1,1,1,2,1,0,1,2,0,2,1,2,0,1,2,2,2,1,1,2,2,0,0,2,1,1,2,1,0,1,1,1,1,1,0,1,2,2,2,1,0,0,1
220,0,1,0,2,2,2,4,7,4,1,0,0,0,0,0,0,0,0,1,2,3,2,2,1,2,0,0,2,0,3,0,0,2,2,1,0,0,1,1,2,2,0,2,0,1,0,2,0,1,1,0,2,0,1,0,0,2,2,0,1,2,1,1,1,0,1,2,1,1,2,2,2,2,2,1,1,1,0,0,0,1,2,0,1,0,0,2,2,0,1,2,0
221,0,1,0,2,2,3,3,7,1,1,0,0,0,0,0,0,0,0,1,2,3,3,4,0,2,0,0,2,0,3,0,0,2,2,1,1,2,2,1,1,2,1,2,1,0,0,0,2,0,0,1,1,2,1,2,2,1,1,1,0,2,1,2,0,2,2,0,2,2,0,0,0,2,2,1,2,1,2,0,1,0,1,1,1,2,2,1,0,2,0,2,0
222,0,0,1,1,4,1,2,6,2,2,0,0,0,0,0,0,0,0,0,0,2,4,3,5,1,0,1,0,1,0,3,1,1,1,2,0,2,0,2,1,2,1,2,2,1,1,2,2,0,2,1,1,2,0,2,0,2,0,2,0,2,0,0,0,1,2,0,2,2,1,2,2,1,1,2,1,0,2,2,0,1,2,0,1,0,0,2,1,2,0,0,0
223,0,1,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,2,1,2,6,0,0,0,0,0,2,2,0,2,1,2,1,0,2,1,0,0,1,0,0,1,2,0,0,1,2,1,2,1,0,2,1,0,1,0,0,0,2,2,1,2,0,1,0,0,0,1,1,2,0,0,1,1,1,0,1,1,1,1,0
224,0,1,2,0,1,0,3,7,-1,12,0,0,0,0,0,0,0,0,1,1,0,1,0,2,2,0,0,2,0,3,0,0,2,0,-1,2,2,0,0,0,0,1,2,2,2,2,2,1,0,2,0,2,1,0,2,1,0,1,0,0,0,2,0,1,2,2,1,2,1,0,0,2,2,0,0,0,1,0,0,2,0,1,2,0,0,2,2,0,1,0,1,0
225,0,1,0,2,2,2,4,7,4,1,0,0,0,0,0,0,0,0,1,2,3,2,2,1,2,0,0,2,0,3,0,0,2,2,1,0,0,0,2,1,1,2,0,1,0,1,1,2,0,1,1,2,1,0,2,1,0,0,0,2,1,1,0,1,0,0,1,0,2,0,1,2,2,2,2,1,0,2,0,2,2,1,1,2,0,0,2,0,2,0,2,2
226,0,0,1,1,4,1,2,6,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,0,1,0,3,1,6,1,2,0,1,1,2,1,0,2,2,2,1,1,2,0,2,0,2,2,0,2,1,2,1,0,0,2,2,0,0,0,2,2,1,0,2,2,1,0,1,2,1,1,2,1,2,2,0,2,1,2,1,0,0,0,0,2,1,2
227,0,1,2,0,1,0,1,1,-1,-1,0,0,0,0,0,0,0,0,1,1,0,1,0,2,2,0,0,1,2,2,1,6,0,0,-1,1,2,1,0,1,2,0,2,1,0,1,1,2,1,0,0,0,0,2,2,1,2,1,1,1,2,1,2,2,2,2,2,1,1,2,1,2,0,1,2,0,1,1,2,0,1,0,1,2,1,2,0,1,2,2,1,1
228,0,1,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,2,2,1,6,0,0,0,1,1,0,0,2,1,1,0,1,0,2,1,0,1,0,2,0,0,2,0,0,1,2,2,2,2,0,1,0,0,2,0,2,0,1,2,1,2,1,0,2,2,0,0,2,1,2,2,1,0,2,2,0,2,2,2,2
229,0,1,0,3,3,3,0,2,24,1,0,0,0,0,0,0,0,0,1,2,1,3,4,0,6,0,1,2,0,3,4,3,3,2,1,2,2,0,1,1,0,0,0,2,0,2,0,2,0,0,1,2,2,0,0,0,2,1,1,2,0,0,2,2,2,0,0,2,1,2,0,1,1,0,1,2,0,0,2,2,1,1,0,2,1,0,0,0,0,2,0,1
230,0,1,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,2,1,2,2,4,0,0,2,1,2,1,0,1,2,0,1,2,0,2,2,0,2,0,0,1,2,1,2,2,2,0,0,0,2,2,1,2,1,1,1,2,0,1,1,1,2,1,2,1,2,2,0,1,2,1,1,0,0,1,0,0,0,0,0
231,0,0,1,1,4,1,2,6,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,5,1,0,1,0,1,0,3,1,6,1,2,2,2,1,2,1,1,0,0,0,1,0,1,0,1,0,2,0,2,0,2,1,2,2,1,2,0,1,2,1,2,1,1,0,0,1,0,2,0,2,1,1,2,2,1,2,2,0,2,0,1,2,1,0,1,2,1,0
232,0,0,1,1,4,1,2,6,2,2,0,0,0,0,0,0,0,0,0,0,2,4,3,5,1,0,1,0,1,0,3,1,6,1,2,1,0,1,2,1,0,1,2,0,2,1,2,1,1,1,0,1,2,2,0,2,2,2,0,2,1,0,1,1,1,0,1,2,1,2,0,2,2,1,0,2,1,1,2,2,2,2,0,1,1,2,1,0,2,2,0,2
233,0,0,1,1,0,4,6,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,0,3,4,5,4,7,1,2,1,2,1,1,0,0,0,0,2,2,1,2,1,2,1,2,0,2,0,2,2,1,0,1,2,1,1,0,2,1,2,0,2,0,1,0,2,0,0,2,2,0,1,1,0,0,1,1,0,2,0,0,2,2,2,0,0
234,0,0,1,1,0,4,6,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,0,3,4,5,4,7,1,2,1,2,0,0,1,2,2,2,2,2,2,1,0,0,2,1,2,2,0,0,2,2,1,1,1,0,1,0,0,2,1,1,0,0,2,1,0,0,2,2,2,2,0,2,1,0,0,1,0,1,0,0,2,2,1,1,1
235,0,1,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,2,2,1,5,5,0,0,2,2,2,2,0,2,0,2,1,0,2,2,2,1,2,2,1,2,0,0,0,1,1,1,2,0,2,0,2,2,2,2,1,1,0,2,1,2,0,1,0,1,0,2,1,2,1,0,1,2,2,0,1,0,2,1,2
236,0,1,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,2,2,1,6,0,0,0,1,0,1,0,2,0,1,0,1,0,1,2,0,1,1,1,2,1,1,2,1,2,0,2,1,2,0,2,1,1,1,1,0,1,1,2,2,1,0,1,1,2,1,2,2,0,2,2,1,1,2,2,2,0,2,1,0
237,0,0,1,1,0,4,6,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,0,3,4,5,4,1,1,2,1,1,2,0,0,2,2,0,1,1,2,1,0,0,2,1,2,2,2,2,2,1,1,1,2,1,1,1,1,1,0,1,0,1,1,0,1,0,2,2,0,0,2,2,0,1,0,0,2,1,1,1,2,1,1,1,2
238,0,0,1,1,0,4,6,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,0,3,4,5,4,7,1,2,0,2,1,0,1,1,0,1,2,1,2,1,1,0,2,0,1,1,1,0,0,2,0,1,1,2,2,0,0,0,2,1,0,2,0,2,0,0,0,1,1,0,1,1,0,2,2,1,2,0,1,0,0,0,2,0,1
239,0,1,2,0,1,0,3,7,-1,12,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,2,0,3,0,0,2,0,-1,0,2,0,1,2,2,0,2,2,0,0,1,1,0,2,1,2,2,0,0,2,0,0,2,1,1,1,2,1,2,0,2,1,0,2,1,1,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,2,2,1,2,2
240,0,0,1,3,3,5,5,4,-1,-1,0,0,0,0,0,0,0,0,0,0,1,4,5,3,7,0,1,0,1,2,4,3,3,1,-1,1,2,2,1,0,0,2,0,0,2,0,0,0,1,0,0,0,2,1,1,2,0,1,0,1,2,0,0,0,1,2,0,1,0,2,0,1,0,1,0,0,1,1,0,1,2,1,2,2,1,2,0,2,2,0,0,0
241,0,1,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,2,1,2,2,4,0,-1,0,0,1,2,1,2,1,2,2,1,1,0,1,1,2,2,2,0,1,2,2,1,2,2,0,1,1,1,1,2,1,0,0,0,0,0,2,1,0,1,2,0,1,2,1,0,1,2,2,1,2,1,0,1,0,0,2
242,0,1,0,3,3,5,5,5,7,1,0,0,0,0,0,0,0,0,1,2,1,3,4,4,6,0,1,2,1,2,4,3,3,2,1,2,1,2,2,0,2,2,2,0,0,2,2,2,1,0,0,2,0,2,1,0,2,0,1,2,2,1,1,0,1,2,0,2,2,1,0,1,2,2,2,1,1,1,2,1,2,2,1,0,1,2,1,2,0,2,0,2
243,0,0,1,1,0,4,6,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,0,3,4,5,4,1,1,2,1,0,1,0,0,2,2,0,1,0,2,2,2,1,1,0,0,0,0,1,2,1,0,0,0,2,1,2,1,0,1,1,0,1,0,0,2,0,2,2,2,2,0,0,2,2,1,1,0,0,1,0,1,2,1,1,2
244,0,1,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,2,1,2,2,4,0,0,2,0,2,2,2,0,0,0,0,2,1,1,0,0,1,1,2,1,0,2,2,2,1,1,1,0,1,2,0,2,1,0,1,2,2,1,2,2,2,2,2,0,1,1,1,2,2,2,1,2,2,2,2,2,1,2,2
245,0,0,1,1,0,4,6,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,0,3,4,5,4,1,1,2,2,2,0,2,0,1,2,0,0,2,1,0,0,1,1,0,1,1,2,1,1,0,2,1,0,1,2,1,1,1,1,1,1,1,0,1,2,0,1,1,0,2,1,1,1,1,1,1,2,1,0,1,2,2,0,1,2
246,0,1,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,2,1,2,2,4,0,0,0,2,0,1,1,2,1,1,2,0,0,0,2,0,2,1,2,1,2,2,0,0,0,1,0,0,2,0,2,2,1,2,1,2,2,1,1,2,2,2,0,1,1,2,1,0,1,1,1,2,0,1,1,2,2,2,2
247,0,1,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,2,1,2,2,4,0,0,2,2,2,0,0,2,1,0,0,0,1,0,2,0,2,0,0,0,0,2,0,1,0,2,0,1,2,2,2,1,0,1,1,1,2,0,2,2,2,1,0,1,2,2,0,2,2,2,0,1,2,0,1,2,1,1,2
248,0,1,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,2,1,2,2,4,0,0,1,0,1,0,2,0,2,0,2,0,1,0,1,0,2,1,2,0,1,0,1,0,1,1,2,1,2,0,2,0,2,0,2,2,2,2,2,1,1,1,2,0,1,0,2,1,2,0,2,1,1,1,2,1,1,1,2
249,0,1,0,2,2,2,4,3,28,1,0,0,0,0,0,0,0,0,1,2,3,2,2,1,2,0,0,2,0,3,0,0,2,2,1,1,0,1,2,0,2,0,0,1,0,0,0,0,0,1,1,1,0,0,2,0,0,0,2,1,0,2,2,1,2,0,2,1,2,0,0,2,2,2,2,0,2,1,2,2,2,2,1,1,1,2,0,1,1,2,1,1
250,0,1,0,2,2,3,0,2,27,1,0,0,0,0,0,0,0,0,1,2,3,2,2,0,2,0,0,2,0,3,0,0,2,2,1,1,2,0,1,1,1,1,2,2,2,1,2,0,2,0,0,0,0,2,1,1,1,1,1,2,0,2,2,2,2,0,1,2,2,0,1,2,0,2,2,0,1,1,1,1,1,2,2,1,0,0,1,0,0,2,0,2
251,0,0,1,1,0,4,6,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,0,3,4,5,4,7,1,2,2,0,0,1,1,2,1,0,2,1,2,2,0,1,0,2,0,0,0,1,2,0,0,2,0,0,0,1,0,0,2,2,1,0,1,2,2,2,1,1,1,1,0,2,1,0,0,0,2,1,1,1,1,0,1,0,0
252,0,1,0,2,2,2,4,3,31,13,0,0,0,0,0,0,0,0,1,2,3,2,2,1,2,0,0,2,0,3,0,0,2,2,-1,2,2,1,2,0,1,0,2,0,1,1,2,0,0,2,2,1,1,2,1,0,0,2,2,0,2,0,1,1,2,1,1,0,1,1,0,1,1,1,2,2,1,0,1,0,0,0,2,2,1,2,0,0,2,2,2,2
253,0,1,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,2,1,2,2,4,0,0,2,2,1,2,2,0,0,0,0,2,1,0,0,2,2,2,2,0,0,0,0,2,1,0,2,2,1,2,0,2,1,0,0,1,2,1,0,0,1,2,0,0,1,0,2,2,2,2,0,0,0,0,1,0,0,2,2
254,0,0,1,1,4,1,2,6,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,0,1,0,3,1,6,1,2,1,1,0,1,1,0,2,0,2,0,2,0,0,1,1,2,1,1,1,1,1,0,1,1,0,0,2,2,0,1,1,2,1,2,1,2,0,2,0,1,2,2,0,1,1,1,0,2,1,0,1,1,0,0,0,0,1
255,0,0,1,1,4,1,2,6,2,2,0,0,0,0,0,0,0,0,0,0,2,4,3,5,3,0,1,0,1,0,3,1,6,1,2,0,2,0,2,2,2,2,1,1,2,0,2,1,0,1,2,1,0,2,0,2,0,0,1,1,0,1,0,0,2,1,2,0,0,2,1,1,2,0,0,0,0,0,0,2,1,2,0,2,0,1,2,1,0,2,1,1
256,0,1,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,2,2,1,6,0,0,0,1,1,0,1,2,1,0,0,1,1,1,2,2,1,1,0,0,0,1,0,1,0,2,1,1,2,2,1,1,1,0,1,2,1,0,0,1,1,1,2,1,1,2,1,2,0,1,0,2,1,0,1,2,1,0,0,0
257,0,1,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,2,1,2,2,4,0,-1,2,1,0,0,1,0,2,2,0,2,1,1,2,1,1,0,0,1,0,2,2,2,0,0,0,0,0,0,0,1,2,1,2,1,2,2,1,0,2,1,0,1,0,1,2,0,0,2,1,1,2,1,2,0,0,1,2
258,0,0,1,1,0,4,6,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,0,3,4,5,4,7,1,-1,2,2,0,0,0,1,1,2,1,0,1,1,2,0,0,1,0,2,0,0,1,1,2,1,0,0,1,1,0,0,1,2,2,2,0,1,2,1,2,2,1,2,2,1,1,2,0,2,1,0,1,0,0,0,1,2,1
259,0,0,1,1,4,1,2,4,-1,14,0,0,0,0,0,0,0,0,0,0,2,4,5,5,3,0,1,0,1,0,4,3,1,1,-1,2,1,2,1,2,2,0,2,1,1,1,1,0,1,2,1,1,0,1,2,1,0,1,1,2,0,0,0,1,0,2,0,2,1,2,0,2,0,0,0,1,0,0,0,1,0,0,0,0,2,0,2,2,1,0,2,0
260,0,1,0,2,2,3,3,7,21,1,0,0,0,0,0,0,0,0,1,2,3,3,4,4,2,0,0,2,0,3,0,0,2,2,1,0,0,2,0,0,2,2,0,1,1,0,2,2,0,1,1,0,2,1,2,0,2,2,0,0,2,0,2,0,1,2,2,0,1,0,1,2,1,1,2,0,1,0,1,1,2,0,2,1,0,2,0,0,1,1,2,1
261,0,1,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,2,1,2,6,0,0,0,2,0,0,0,0,2,0,1,2,0,0,2,0,2,0,0,0,2,0,1,2,0,1,0,1,0,1,0,1,1,1,2,1,1,0,2,0,2,0,2,1,1,2,0,2,1,2,2,2,0,2,1,2,2,0,0,1
262,0,0,1,1,0,4,6,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,0,3,4,5,4,1,1,2,1,0,0,1,0,2,2,1,0,2,1,2,0,1,0,0,0,0,2,1,1,1,1,1,2,2,0,1,2,2,2,1,0,0,2,2,2,0,2,1,0,0,1,0,2,2,1,1,0,2,0,0,2,0,1,2,0
263,0,1,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,2,1,1,5,5,0,0,2,2,0,0,0,2,2,0,0,1,2,0,2,1,2,2,0,2,2,1,1,0,2,2,1,2,0,2,1,0,2,0,1,2,1,2,0,1,2,1,0,2,2,0,1,1,1,2,1,2,0,1,0,1,1,2,1
264,0,1,0,2,2,2,4,3,-1,-1,-1,0,0,0,0,0,0,0,1,2,3,2,1,1,6,0,0,2,0,3,0,0,2,2,-1,1,1,2,2,0,1,2,0,1,2,1,2,2,0,0,0,1,1,2,0,0,0,1,0,0,0,1,1,2,0,0,1,2,1,2,1,2,1,0,2,0,1,0,0,1,1,2,2,2,0,1,2,2,1,0,0,2
