,dbscan_eps_0_1_min_samples_2,dbscan_eps_0_2_min_samples_2,dbscan_eps_0_3_min_samples_2,dbscan_eps_0_4_min_samples_2,dbscan_eps_0_5_min_samples_2,dbscan_eps_0_6_min_samples_2,dbscan_eps_0_7_min_samples_2,dbscan_eps_0_8_min_samples_2,dbscan_eps_0_9_min_samples_2,kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,kmeans_n_clusters_1,kmeans_n_clusters_2,kmeans_n_clusters_3,kmeans_n_clusters_4,kmeans_n_clusters_5,kmeans_n_clusters_6,kmeans_n_clusters_7,kmeans_n_clusters_8,mean_shift_,optics_min_samples_7_xi_0_1_min_cluster_size_0_2,spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,random_model_n1,random_model_n2,random_model_n3,random_model_n4,random_model_n5,random_model_n6,random_model_n7,random_model_n8,random_model_n9,random_model_n10,random_model_n11,random_model_n12,random_model_n13,random_model_n14,random_model_n15,random_model_n16,random_model_n17,random_model_n18,random_model_n19,random_model_n20,random_model_n21,random_model_n22,random_model_n23,random_model_n24,random_model_n25,random_model_n26,random_model_n27,random_model_n28,random_model_n29,random_model_n30,random_model_n31,random_model_n32,random_model_n33,random_model_n34,random_model_n35,random_model_n36,random_model_n37,random_model_n38,random_model_n39,random_model_n40,random_model_n41,random_model_n42,random_model_n43,random_model_n44,random_model_n45,random_model_n46,random_model_n47,random_model_n48,random_model_n49,random_model_n50,random_model_n51
139,0,1,1,1,4,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,4,3,0,0,1,0,1,2,2,3,1,0,1,2,1,2,2,0,0,0,1,0,2,1,2,0,2,2,2,0,1,0,0,2,2,1,1,2,2,2,1,0,0,1,0,2,2,1,1,2,1,1,2,0,0,2,2,2,2,1,1,1,1
140,0,0,0,2,2,1,2,2,1,1,0,0,0,0,0,0,0,0,0,2,1,2,4,1,2,0,1,2,1,0,4,1,2,0,1,0,1,2,1,2,1,1,2,0,1,1,1,1,2,2,0,2,2,2,1,1,2,0,2,2,0,2,1,0,1,2,0,0,0,1,1,0,0,2,2,1,0,0,0,0,2,2,1,0,2,0
141,0,1,1,3,1,4,4,3,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,6,0,0,1,3,3,5,4,1,1,0,1,2,1,2,1,1,1,0,1,1,0,0,0,0,1,1,1,0,1,1,2,1,2,1,0,2,0,1,0,0,2,2,0,1,2,0,0,1,1,1,1,1,0,2,0,1,2,1,1,1,0
142,0,0,0,0,3,5,0,5,2,2,0,0,0,0,0,0,0,0,0,2,2,4,3,5,1,0,1,0,2,2,3,0,4,0,2,1,1,2,2,1,2,2,2,0,2,2,0,2,0,2,1,0,0,1,1,1,0,1,1,2,1,2,1,1,0,2,1,0,0,2,0,1,1,1,0,1,2,0,2,1,1,1,0,0,1,1
143,0,0,0,2,2,1,2,2,1,1,0,0,0,0,0,0,0,0,0,2,1,4,4,1,2,0,1,2,1,0,4,3,2,0,1,2,2,2,1,0,0,0,2,1,0,0,0,0,2,0,1,0,1,0,1,0,0,0,1,2,1,1,2,0,1,2,2,2,2,0,1,0,2,1,2,0,2,0,2,2,0,2,0,1,1,1
144,0,0,0,2,3,2,2,2,1,1,0,0,0,0,0,0,0,0,0,2,1,4,5,1,2,0,1,2,1,0,1,3,7,0,1,0,2,1,2,0,1,0,2,0,2,1,1,0,2,0,0,1,2,2,2,1,1,1,2,2,1,2,2,2,0,0,1,0,0,2,0,1,0,2,0,0,0,0,1,2,1,2,0,2,2,0
145,0,0,2,0,3,2,6,6,1,1,0,0,0,0,0,0,0,0,0,0,2,3,5,6,0,0,1,2,0,0,1,3,7,0,1,0,0,0,1,0,0,2,0,1,0,0,1,2,2,1,0,1,0,1,2,2,0,0,0,1,1,0,1,2,2,1,2,0,1,2,2,1,2,1,2,1,1,0,2,0,2,0,0,1,2,0
146,0,1,1,3,1,4,4,3,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,6,0,0,1,3,3,2,4,1,1,0,0,1,2,0,1,1,2,2,2,2,0,2,1,2,1,1,1,2,2,2,1,2,1,1,1,0,2,0,2,0,1,2,0,0,1,1,1,2,0,2,1,0,0,1,1,0,1,2,0,2,2
147,0,0,2,0,0,3,3,4,8,2,0,0,0,0,0,0,0,0,0,0,2,0,1,3,4,0,1,0,0,4,0,5,6,0,2,1,0,2,1,0,0,0,0,2,0,1,1,2,0,2,2,0,2,2,2,1,1,2,1,2,1,2,0,0,1,1,2,2,1,2,2,1,2,1,2,2,2,1,2,2,2,0,0,2,2,0
148,0,0,0,2,2,1,5,5,-1,2,0,0,0,0,0,0,0,0,0,2,1,2,4,1,1,0,1,0,2,2,3,0,4,0,2,1,1,0,1,1,0,0,2,1,1,2,0,0,2,2,2,2,1,2,2,1,0,2,1,2,0,1,0,1,1,2,2,2,1,0,2,0,2,1,1,1,2,0,1,1,1,1,0,2,1,0
149,0,0,0,2,2,1,5,7,1,1,0,0,0,0,0,0,0,0,0,2,1,2,4,2,2,0,1,2,1,0,4,1,2,0,1,0,0,1,2,1,1,1,1,1,0,0,0,0,1,1,2,0,0,2,1,0,1,2,0,1,0,2,0,1,1,2,1,1,2,2,2,2,0,2,0,2,0,1,2,0,2,0,1,0,2,2
150,0,1,1,1,4,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,4,3,0,0,1,0,1,2,2,3,1,0,0,1,0,1,2,0,2,0,2,2,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,2,0,1,1,2,0,0,1,2,2,2,2,0,0,1,1,0,2,1,0,1,0,0,0,1,0
151,0,0,0,2,3,2,2,2,1,1,0,0,0,0,0,0,0,0,0,2,1,4,5,1,2,0,1,2,1,0,1,3,7,0,1,2,2,0,2,1,2,2,2,0,2,1,1,0,2,2,1,0,0,0,2,0,1,1,2,2,0,2,2,0,1,0,2,0,1,2,1,2,1,2,1,0,2,0,2,2,1,0,2,2,1,2
152,0,0,2,0,3,5,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,5,1,0,1,0,2,2,3,0,0,0,2,0,1,1,2,1,0,2,2,2,0,1,1,2,2,1,1,1,1,2,0,0,1,1,1,2,2,0,0,0,2,2,2,0,2,0,0,2,0,2,1,1,2,2,0,1,1,2,2,1,2,0
153,0,1,2,0,0,3,3,4,8,2,0,0,0,0,0,0,0,0,0,0,2,0,1,3,4,0,1,0,0,4,0,5,6,1,2,0,2,2,1,0,0,0,1,2,0,0,0,0,1,2,2,1,1,1,0,2,0,2,0,2,2,0,1,1,1,0,0,2,2,0,0,2,2,0,0,0,2,0,0,2,1,1,2,0,1,2
154,0,1,1,3,1,4,4,3,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,6,0,0,1,3,3,5,4,1,1,0,2,1,0,2,2,2,1,2,0,0,0,2,0,1,0,0,1,2,1,2,1,1,2,1,1,1,0,2,2,0,1,1,0,2,2,0,1,0,0,0,0,1,0,1,1,1,1,1,1,0,1
155,0,0,0,2,3,5,0,5,4,2,0,0,0,0,0,0,0,0,0,2,1,4,3,1,1,0,1,0,2,2,3,0,4,0,2,1,2,0,1,0,0,2,1,0,0,1,1,1,2,0,1,0,1,2,0,1,1,0,1,0,0,0,1,2,1,0,1,0,2,1,1,1,0,2,2,2,0,2,2,2,1,0,1,0,0,0
156,0,0,2,0,0,3,3,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,1,3,4,0,1,0,2,4,0,5,0,0,2,0,2,2,0,2,1,2,0,1,1,0,0,0,1,0,2,0,2,1,1,0,0,1,1,0,2,1,0,2,0,0,1,2,1,2,2,2,1,0,2,0,0,2,2,2,0,0,2,0,1,1
157,0,0,2,0,0,3,3,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,1,3,4,0,1,0,2,4,0,5,0,0,2,0,1,1,1,0,0,0,1,2,2,2,0,0,1,2,0,2,0,2,2,2,0,2,0,2,1,1,2,1,2,0,0,1,2,2,1,0,2,2,1,0,2,1,1,2,2,2,0,1,0,1
158,0,1,1,1,4,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,4,3,0,0,1,0,1,2,2,3,1,0,0,2,0,1,1,1,1,1,0,2,2,1,0,0,2,2,2,1,1,0,2,2,0,1,0,0,0,1,2,2,1,2,2,1,2,1,2,0,1,1,1,0,1,0,1,1,1,2,1,0,2
159,0,1,1,3,1,4,4,3,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,6,0,0,1,3,3,5,4,1,1,0,2,2,0,1,1,2,1,2,1,2,1,0,2,0,2,1,0,2,0,2,1,1,1,1,2,2,0,0,2,0,2,0,1,0,1,1,1,1,2,0,0,2,0,1,0,2,1,1,0,2,2
160,0,0,0,2,2,1,2,2,1,1,0,0,0,0,0,0,0,0,0,2,1,4,4,1,2,0,1,2,1,0,4,3,2,0,1,2,0,2,2,2,0,1,0,2,0,0,0,1,1,0,1,0,1,0,2,0,1,1,0,0,0,2,1,2,0,0,2,0,2,2,0,1,1,1,1,0,2,0,1,2,1,1,2,1,0,2
161,0,0,2,0,0,5,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,1,5,4,0,1,0,2,4,0,5,0,0,2,1,1,0,1,1,2,2,0,0,0,0,1,2,1,2,0,2,2,0,2,2,0,2,0,0,1,0,2,2,1,0,2,0,2,2,2,2,2,2,2,1,0,2,2,1,1,0,1,1,1,0
162,0,0,0,2,2,1,2,2,1,1,0,0,0,0,0,0,0,0,0,2,1,4,4,1,2,0,1,2,1,0,1,3,7,0,1,2,2,2,2,1,2,1,0,0,0,0,2,1,2,0,1,2,2,2,2,2,2,2,0,2,1,1,0,2,2,1,2,0,2,1,1,2,1,0,1,1,1,1,0,2,2,1,2,0,0,0
163,0,0,2,0,3,5,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,4,3,5,1,0,1,0,2,2,3,0,4,0,2,0,2,2,0,0,1,0,1,0,2,0,1,2,1,1,1,1,1,0,2,0,2,1,2,1,2,2,2,2,2,1,1,0,1,1,2,2,1,2,0,2,0,2,2,2,1,1,2,1,1,0
164,0,1,1,3,1,4,4,3,16,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,7,0,0,1,3,3,5,6,5,1,0,1,0,1,0,0,2,0,2,1,0,1,1,0,1,0,1,2,1,0,2,0,1,1,0,1,2,1,1,0,2,2,2,0,1,2,1,0,0,2,2,2,2,1,1,0,0,0,2,2,1,0
165,0,1,1,3,1,4,4,3,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,6,0,0,1,3,3,5,4,1,1,0,1,2,1,2,1,1,0,1,1,2,2,0,0,1,1,1,0,0,0,2,2,0,2,2,2,0,0,2,0,1,1,1,0,2,1,1,0,1,1,0,1,1,2,0,1,0,1,1,1,0,2
166,0,0,2,0,0,3,3,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,1,3,4,0,1,0,2,4,0,5,0,0,2,1,1,1,2,0,2,1,0,1,2,0,2,1,0,1,1,1,2,2,2,1,2,2,1,0,0,2,1,2,0,1,2,0,1,2,2,1,1,1,0,2,2,0,2,0,0,0,2,0,0,2
167,0,0,2,0,0,2,6,6,9,1,0,0,0,0,0,0,0,0,0,0,2,3,5,6,0,0,1,2,0,0,1,3,7,0,1,2,2,0,1,0,1,2,2,2,2,1,1,2,2,2,2,0,0,2,0,1,2,1,2,1,1,0,1,0,1,1,0,1,2,1,1,2,2,0,1,1,2,0,2,2,0,2,1,0,1,1
168,0,1,1,3,1,4,4,3,-1,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,7,0,0,1,3,3,5,6,5,1,-1,1,1,1,1,0,0,2,0,2,0,0,2,0,2,0,2,0,0,2,2,1,0,1,2,0,1,1,0,2,1,1,1,0,1,0,2,1,0,2,2,0,1,1,2,0,1,1,0,1,1,2
169,0,0,0,2,2,1,5,5,13,2,0,0,0,0,0,0,0,0,0,2,1,4,4,1,1,0,1,0,2,2,3,0,4,0,2,1,2,1,2,0,1,1,0,1,2,0,2,0,2,1,0,2,2,0,1,0,0,0,2,2,0,2,1,0,0,0,2,2,0,2,2,1,0,0,1,1,1,1,2,0,0,2,2,0,0,1
170,0,0,0,2,2,1,2,2,1,1,0,0,0,0,0,0,0,0,0,2,1,4,4,1,2,0,1,2,1,0,1,3,7,0,1,1,2,1,0,2,2,2,2,2,2,1,0,1,0,1,1,2,1,2,1,2,2,2,1,2,1,0,0,1,0,1,2,0,0,0,0,1,0,1,1,1,2,1,1,2,2,1,2,1,0,1
171,0,1,1,3,1,4,4,3,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,6,0,0,1,3,3,5,4,1,1,0,2,2,0,0,2,2,2,1,0,1,0,0,2,2,0,0,0,1,0,1,1,0,2,2,0,1,2,2,0,1,2,0,2,0,2,1,0,0,2,0,0,2,0,1,0,2,1,0,0,1,0
172,0,0,0,2,2,1,5,7,1,1,0,0,0,0,0,0,0,0,0,2,1,2,4,2,2,0,1,2,1,0,4,1,2,0,1,0,1,1,0,2,0,1,1,2,0,0,2,0,2,2,1,1,0,2,0,2,1,2,0,2,2,2,1,0,0,1,1,1,1,2,2,1,1,1,1,1,2,0,0,0,1,2,0,2,0,0
173,0,1,1,1,4,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,4,3,0,0,1,0,1,2,2,3,1,0,1,1,2,1,1,0,2,0,2,1,0,2,1,0,0,2,1,2,2,0,0,1,2,1,2,2,2,2,1,0,0,1,2,2,2,0,0,1,2,1,1,1,2,0,2,2,1,0,2,1,2
174,0,1,1,1,4,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,4,3,0,0,1,0,1,2,2,3,1,0,1,0,1,1,2,0,2,2,1,2,0,0,2,1,1,2,2,1,0,0,2,0,1,2,2,2,2,1,0,0,0,0,0,0,1,0,2,1,0,0,2,2,2,2,1,1,1,0,1,2,1
175,0,0,2,0,0,3,3,4,2,2,0,0,0,0,0,0,0,0,0,0,2,0,1,3,4,0,1,0,0,4,0,5,0,0,2,2,2,0,0,2,1,2,0,1,1,1,2,2,2,2,1,0,0,1,1,1,2,1,0,1,2,0,2,2,0,2,2,1,0,0,1,2,1,2,2,2,1,1,0,0,2,1,1,2,1,1
176,0,1,2,0,0,3,3,4,-1,2,0,0,0,0,0,0,0,0,0,0,2,0,1,3,4,0,1,0,0,4,0,5,6,1,2,1,1,1,0,1,1,1,1,1,2,0,0,0,2,1,0,1,0,2,0,1,1,1,0,2,2,2,0,1,2,0,2,0,2,2,0,1,1,1,1,0,2,2,2,1,1,0,2,1,2,1
177,0,0,2,0,3,5,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,4,3,5,1,0,1,0,2,2,3,0,4,0,2,0,1,2,2,1,0,1,1,2,1,0,1,2,2,1,2,0,2,1,0,0,2,1,1,2,2,2,1,1,2,0,2,1,1,0,0,2,2,0,2,1,2,1,2,1,0,0,2,0,1,2
178,0,1,1,1,4,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,4,6,0,0,1,0,1,2,2,3,1,0,1,2,2,0,2,0,1,1,0,1,1,1,1,1,0,0,0,2,1,2,2,0,1,0,1,2,2,0,1,2,2,0,0,1,0,2,1,2,1,1,2,1,2,0,1,1,0,0,0,1,1
179,0,0,0,2,2,1,2,2,1,1,0,0,0,0,0,0,0,0,0,2,1,4,4,1,2,0,1,2,1,0,4,1,2,0,1,2,1,1,2,1,1,1,2,0,1,1,1,1,2,1,2,0,2,2,1,1,1,1,1,2,1,0,2,2,2,2,0,2,0,1,2,0,2,1,0,1,2,2,2,0,0,2,2,1,2,0
180,0,0,2,0,0,3,3,4,2,2,0,0,0,0,0,0,0,0,0,0,2,0,1,3,4,0,1,0,0,4,0,5,0,0,2,1,1,1,2,1,0,0,2,0,2,0,0,0,1,2,0,0,0,2,2,2,2,0,2,2,1,1,2,1,1,1,0,1,1,2,0,1,1,1,2,1,0,1,0,1,0,0,1,2,0,1
181,0,0,0,2,2,1,5,5,13,2,0,0,0,0,0,0,0,0,0,2,1,4,4,1,1,0,1,0,2,2,3,0,4,0,2,1,1,2,0,1,1,1,1,2,2,2,0,2,2,1,1,1,1,2,0,1,0,1,1,1,0,2,2,2,0,2,2,2,1,2,0,2,1,2,1,2,2,1,0,0,0,2,0,2,2,0
182,0,1,1,1,4,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,4,3,0,0,1,0,1,2,2,3,1,0,0,0,0,0,2,2,1,1,0,1,0,1,0,1,2,2,0,2,1,1,2,2,1,2,1,0,0,2,0,2,2,2,1,1,0,1,0,1,1,2,0,0,2,0,0,0,2,2,2,2,2
183,0,0,0,2,2,1,5,7,1,1,0,0,0,0,0,0,0,0,0,2,1,2,4,2,2,0,1,2,1,0,4,1,2,0,1,0,2,2,1,1,2,2,0,0,2,2,0,1,2,2,0,2,2,2,2,1,2,2,2,1,0,0,1,2,1,0,1,1,1,0,1,0,2,1,2,2,0,2,2,1,1,0,2,0,2,1
184,0,0,2,0,3,2,6,6,1,1,0,0,0,0,0,0,0,0,0,0,2,3,5,6,0,0,1,2,0,0,1,3,7,0,1,0,2,0,0,2,2,1,2,0,1,2,1,2,2,0,1,1,1,1,2,1,2,1,0,2,2,1,0,1,1,2,1,1,2,2,1,2,1,0,0,2,1,1,1,2,1,1,1,2,2,1
185,0,0,0,2,2,1,5,7,1,1,0,0,0,0,0,0,0,0,0,2,1,2,4,1,2,0,1,2,1,0,4,1,2,0,1,1,2,1,2,1,0,0,1,0,1,0,0,2,1,0,2,2,1,1,0,0,2,1,2,0,2,1,2,0,0,1,2,0,2,1,0,2,0,0,2,1,0,0,1,1,0,1,1,2,1,0
186,0,0,2,0,3,2,6,6,21,1,0,0,0,0,0,0,0,0,0,0,2,3,5,6,0,0,1,2,0,0,1,3,7,0,1,1,0,0,0,2,2,0,0,0,1,0,1,1,0,2,0,2,1,1,0,1,2,1,0,2,0,2,2,2,0,2,1,0,2,0,2,0,0,2,0,2,0,2,1,1,2,1,1,2,2,1
187,0,0,0,2,3,1,2,2,1,1,0,0,0,0,0,0,0,0,0,2,1,4,5,1,2,0,1,2,1,0,1,3,7,0,1,2,0,0,1,2,0,1,1,0,1,0,2,1,0,2,2,2,2,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,2,0,0,2,2,1,2,2,1,2,2,0,2,0,1
188,0,1,1,3,1,4,4,3,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,6,0,0,1,3,3,5,4,1,1,0,1,1,2,1,2,1,2,1,0,0,0,1,2,0,1,0,1,0,0,1,1,2,0,1,1,1,0,1,1,2,2,2,1,0,2,1,0,2,1,2,1,2,2,0,2,2,2,2,2,1,1
189,0,0,0,2,3,5,0,5,2,2,0,0,0,0,0,0,0,0,0,2,1,4,3,5,1,0,1,0,2,2,3,0,4,0,2,1,1,1,1,0,0,1,0,1,0,2,1,1,0,0,1,1,2,0,2,1,0,1,2,1,1,0,0,2,2,0,1,2,2,2,2,2,2,1,0,2,1,1,1,1,2,2,1,2,1,1
190,0,0,0,2,3,2,6,6,1,1,0,0,0,0,0,0,0,0,0,2,2,4,5,6,0,0,1,2,1,0,1,3,7,0,1,0,0,0,1,1,0,0,2,2,0,2,1,2,2,0,2,0,1,0,2,2,0,0,0,0,2,0,2,1,0,2,2,0,1,2,0,0,2,2,0,1,1,2,0,1,0,1,2,2,0,2
191,0,0,2,0,3,5,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,5,4,0,1,0,2,4,0,5,0,0,2,1,2,2,1,1,1,0,1,0,2,0,1,0,0,0,1,1,0,2,0,0,1,2,2,0,0,1,0,1,1,0,0,2,2,1,0,1,1,2,1,1,2,2,0,1,0,0,1,1,2,0
192,0,0,2,0,3,5,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,5,1,0,1,0,2,2,3,0,0,0,2,2,2,1,0,1,1,0,0,0,2,1,2,0,2,1,1,1,2,1,1,2,2,0,1,1,2,1,0,1,2,2,2,2,2,1,1,1,1,2,2,0,2,2,0,0,0,2,1,0,2,1
193,0,0,0,2,2,1,5,7,1,1,0,0,0,0,0,0,0,0,0,2,1,2,4,2,5,0,1,2,1,0,4,1,2,0,1,2,1,1,0,2,1,1,0,2,1,0,1,0,1,0,2,2,2,1,0,1,1,1,0,2,1,2,0,1,2,2,0,2,0,2,1,0,1,1,0,2,0,2,0,2,0,1,2,1,1,2
194,0,0,0,2,2,1,5,5,20,2,0,0,0,0,0,0,0,0,0,2,1,2,4,2,5,0,1,0,2,2,3,0,4,0,2,2,0,0,1,2,0,0,0,0,0,0,1,2,2,0,2,0,1,0,1,0,2,2,2,1,0,1,0,1,0,0,2,0,2,1,2,1,2,0,1,1,2,2,0,2,0,2,0,0,1,1
195,0,0,0,2,3,2,6,6,1,1,0,0,0,0,0,0,0,0,0,2,2,4,5,6,0,0,1,2,1,0,1,3,7,0,1,2,2,0,2,1,1,0,1,0,2,2,1,1,1,1,0,2,2,0,1,2,2,0,1,1,2,0,1,0,0,2,2,1,1,0,2,0,2,1,0,0,2,1,1,1,0,0,0,0,2,2
196,0,0,2,0,3,5,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,5,1,0,1,0,2,2,3,0,0,0,2,0,0,2,0,0,1,1,1,0,2,1,0,1,2,2,2,1,0,1,1,1,1,1,1,1,2,1,2,1,1,2,2,2,1,1,1,1,0,2,1,0,0,2,1,1,0,0,1,2,1,1
197,0,0,0,2,2,1,5,5,13,2,0,0,0,0,0,0,0,0,0,2,1,4,4,1,1,0,1,0,2,2,3,0,4,0,2,1,0,1,1,0,1,1,2,0,0,2,0,1,0,2,1,2,2,2,2,2,1,1,0,1,2,0,1,1,0,1,0,0,0,1,1,1,0,0,0,1,0,2,0,2,1,2,0,1,0,0
198,0,0,0,2,3,2,6,6,1,1,0,0,0,0,0,0,0,0,0,2,1,4,5,6,0,0,1,2,1,0,1,3,7,0,1,0,0,1,2,2,1,2,2,2,2,1,1,0,1,2,2,0,1,0,0,0,1,0,1,2,2,1,0,0,1,2,2,1,0,0,0,1,2,1,2,2,1,0,0,0,0,1,0,1,0,0
199,0,0,2,0,3,2,6,6,1,1,0,0,0,0,0,0,0,0,0,0,2,3,5,6,0,0,1,2,0,0,1,3,7,0,1,2,0,1,0,1,0,0,2,1,1,1,2,2,2,2,0,0,0,2,2,2,0,1,2,2,2,1,0,1,1,1,1,1,2,0,0,2,0,0,1,2,0,1,0,2,2,2,1,2,0,2
200,0,0,2,0,0,3,3,4,8,2,0,0,0,0,0,0,0,0,0,0,2,0,1,3,4,0,1,0,0,4,0,5,6,0,2,1,1,2,0,2,0,1,1,0,1,0,2,0,2,0,2,1,0,0,1,0,2,1,2,1,2,2,0,1,1,0,1,1,0,2,0,1,2,0,2,2,0,0,1,0,0,0,2,2,1,0
201,0,0,0,2,2,5,0,5,22,2,0,0,0,0,0,0,0,0,0,2,1,4,3,1,1,0,1,0,2,2,3,0,4,0,2,0,1,2,0,0,1,0,0,0,0,0,0,0,1,0,1,2,0,1,0,2,1,0,1,1,2,1,1,1,0,2,0,0,2,0,0,1,1,0,0,0,0,2,0,2,2,1,2,0,1,1
202,0,0,0,2,2,1,5,5,20,2,0,0,0,0,0,0,0,0,0,2,1,2,4,2,5,0,1,0,2,2,3,0,4,0,2,2,1,0,2,1,0,2,0,1,1,2,0,2,2,0,2,0,0,1,1,2,0,2,0,2,2,0,0,0,2,2,1,0,2,1,0,0,0,0,0,1,1,1,2,0,1,1,0,0,2,0
203,0,0,2,0,0,3,3,4,2,2,0,0,0,0,0,0,0,0,0,0,2,0,1,3,4,0,1,0,0,4,0,5,0,0,2,1,2,2,2,0,2,1,1,1,0,2,0,2,0,0,0,1,1,1,1,2,1,1,1,1,1,2,2,2,2,2,2,1,2,0,2,2,2,0,2,1,2,0,1,1,0,1,0,2,2,1
204,0,0,2,1,4,0,6,6,23,0,0,0,0,0,0,0,0,0,1,0,0,3,5,6,0,0,1,1,0,1,2,2,3,0,0,2,0,0,0,2,0,2,1,2,1,1,0,1,0,2,1,0,0,1,2,0,2,2,1,2,0,0,0,1,2,2,2,2,0,1,1,1,0,2,1,2,1,1,1,1,1,2,0,2,0,0
205,0,0,2,0,0,3,3,4,8,2,0,0,0,0,0,0,0,0,0,0,2,0,1,3,4,0,1,0,0,4,0,5,6,0,2,2,2,0,0,2,0,2,2,2,0,0,0,0,1,0,2,0,1,2,1,0,1,2,0,1,2,0,2,0,2,2,2,1,0,1,1,0,1,1,1,1,2,2,1,1,1,1,2,0,0,2
206,0,0,2,0,3,5,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,4,3,5,1,0,1,0,2,2,3,0,4,0,2,1,0,0,1,2,0,2,0,2,0,1,1,0,2,1,2,2,2,1,2,1,0,1,1,2,2,1,0,0,1,0,0,2,2,0,0,2,1,0,2,0,0,0,2,2,0,2,2,2,0,2
207,0,1,1,1,4,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,4,3,0,0,1,0,1,2,2,3,1,0,1,2,0,0,1,0,1,0,0,1,1,2,2,2,2,0,0,0,1,1,2,0,2,2,1,1,0,1,0,0,1,0,1,0,0,2,2,0,0,2,1,2,1,0,1,2,1,0,2,0,0
208,0,0,0,2,3,2,2,2,24,1,0,0,0,0,0,0,0,0,0,2,1,4,5,1,2,0,1,2,1,0,1,3,7,0,1,0,2,1,1,1,1,2,0,0,0,1,0,1,0,0,1,0,1,1,1,2,2,0,0,0,0,1,1,2,1,0,2,2,2,1,0,1,2,1,1,1,0,0,1,1,1,1,1,1,1,1
209,0,0,0,2,2,1,2,2,1,1,0,0,0,0,0,0,0,0,0,2,1,4,4,1,2,0,1,2,1,0,4,1,2,0,1,1,2,0,1,0,0,2,1,1,0,2,0,2,0,0,0,0,2,2,1,1,1,0,1,2,0,2,2,1,0,0,2,2,0,0,0,1,1,2,1,1,0,1,1,1,0,0,2,1,2,1
210,0,0,2,0,0,3,3,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,1,3,4,0,1,0,2,4,0,5,0,0,2,0,1,2,2,2,2,0,0,1,2,2,2,2,1,1,2,0,2,2,0,1,0,2,1,0,2,2,2,0,2,1,1,2,0,0,2,2,1,0,1,2,1,2,1,0,1,1,1,2,0,1
211,0,0,0,2,3,2,6,6,1,1,0,0,0,0,0,0,0,0,0,2,2,4,5,6,0,0,1,2,1,0,1,3,7,0,1,2,1,1,0,1,0,2,2,1,2,2,1,0,0,2,0,2,0,2,2,0,0,1,2,2,1,1,1,2,1,1,0,2,0,2,0,2,0,1,0,2,2,2,0,2,0,0,1,2,1,1
